Cr,Co,Mo,W,Ta,Re,Al,B,C,Hf,Ni,Nb,Ti,ÎÂ¶È,Ó¦Á¦,shouming£¨h£©,suxing£¨%£©
5.5,4.5,2.5,6,6.5,0,6.8,0,0,0.5,67.2,0,0,1010,235,95.25,33.12
5.5,4.5,2.5,6,6.5,0,6.8,0,0,0.5,66.7,0.5,0.5,1010,235,76.32,27.6
5.5,4.5,2.5,6,6.5,0.5,6.8,0,0,0.5,66.2,0.5,0.5,1010,235,78.75,27.6
5.5,4.5,1.5,6,7,0,6.8,0,0,0.5,67.7,0,0.5,1010,235,81.04,34.08
5.5,4.5,1.5,6,7,0.5,6.8,0,0,0,67.7,0,0.5,1010,235,84.02,29.04
5.5,4.5,1.5,6,7,0,6.8,0,0,0,67.7,0.5,0.5,1010,235,85.53,33.84
5.5,4.5,1.5,6,7,0,6.8,0,0,0.5,67.2,0.5,0.5,1010,235,86.38,15.84
5.5,4.5,1.5,6,7,0.5,6.8,0,0,0,67.2,0.5,0.5,1010,235,86.65,25.84
5.5,4.5,1.5,6,7,0.5,6.8,0,0,0.5,66.7,0.5,0.5,1010,235,86.9,32.48
5.5,4.5,2,6,7,0,6.8,0,0,0.5,67.2,0,0.5,1010,235,87.67,20.64
5.5,4.5,2,6,7,0.5,6.8,0,0,0,67.2,0,0.5,1010,235,88.95,32.56
5.5,4.5,2,6,7,0,6.8,0,0,0.5,66.7,0.5,0.5,1010,235,91.08,33.12
5.5,4.5,2,6,7,0.5,6.8,0,0,0.5,66.2,0.5,0.5,1010,235,92.32,34.64
5.5,4.5,2.5,6,7,0,6.8,0,0,0.5,66.7,0,0.5,1010,235,94.22,30.16
5.5,4.5,2.5,6,7,0,6.8,0,0,0,66.7,0.5,0,800,750,60.45,25.68
5.5,4.5,2.5,6,7,0,6.8,0,0,0.5,66.2,0.5,0,800,750,74.15,43.6
5.5,4.5,2.5,6,7,0.5,6.8,0,0,0,66.2,0.5,0,1010,235,34.48,36.72
5.5,4.5,2.5,6,7,0.5,6.8,0,0,0.5,65.7,0.5,0,1010,235,34.88,46.32
5.5,4.5,1.5,6.5,6,0,5.8,0,0,0.5,69.7,0,0,800,750,109.18,30
5.5,4.5,1.5,6.5,6,0.5,5.8,0,0,0,69.7,0,0,1010,235,57.74,29.92
